# mode=throughput rounds=3 dram=true arena=false thp=false align=Some(16) nbuf=None counter=RDPRU-APERF core=3 commit=2489dfea1c clock_check=APERF 4.954 GHz, APERF/MPERF 1.306 (boost active, governor not settable)
# hash,size,bytes_per_cycle_median,bpc_mad,GB_s_median,cycles_per_hash_median,cph_mad,samples,residency,footprint_bytes,eff_GHz
ahash,16,0.388,0.000,1.96,41.21,0.04,3,DRAM,50331648,5.053
ahash,256,4.109,0.032,20.84,62.29,0.49,3,DRAM,117440512,5.070
ahash,1024,3.449,0.005,17.04,296.86,0.45,3,DRAM,318767104,4.940
ahash,4096,4.786,0.009,23.62,855.82,1.60,3,DRAM,1124073472,4.935
ahash,65536,6.109,0.002,30.18,10727.01,2.82,3,DRAM,1076887552,4.940
ahash,1048576,6.584,0.012,32.48,159272.99,281.29,3,DRAM,1073938432,4.933
foldhash,16,0.662,0.008,3.40,24.16,0.27,3,DRAM,50331648,5.140
foldhash,256,4.479,0.178,22.51,57.16,2.36,3,DRAM,117440512,5.026
foldhash,1024,6.010,0.013,30.01,170.40,0.36,3,DRAM,318767104,4.993
foldhash,4096,6.415,0.013,32.04,638.47,1.24,3,DRAM,1124073472,4.994
foldhash,65536,6.622,0.028,33.06,9896.45,41.94,3,DRAM,1076887552,4.992
foldhash,1048576,6.590,0.017,32.90,159119.75,419.84,3,DRAM,1073938432,4.992
gxhash,16,0.508,0.001,2.61,31.52,0.05,3,DRAM,50331648,5.140
gxhash,256,2.745,0.005,14.03,93.25,0.17,3,DRAM,117440512,5.109
gxhash,1024,5.477,0.005,28.15,186.97,0.18,3,DRAM,318767104,5.140
gxhash,4096,6.199,0.012,31.87,660.72,1.30,3,DRAM,1124073472,5.140
gxhash,65536,6.473,0.054,33.07,10123.89,85.79,3,DRAM,1076887552,5.109
gxhash,1048576,6.462,0.002,32.93,162260.33,43.32,3,DRAM,1073938432,5.096
lanehash,16,0.294,0.004,1.51,54.44,0.72,3,DRAM,50331648,5.126
lanehash,256,3.311,0.069,16.94,77.31,1.57,3,DRAM,117440512,5.117
lanehash,1024,5.425,0.012,27.53,188.76,0.41,3,DRAM,318767104,5.076
lanehash,4096,6.177,0.060,30.10,663.11,6.46,3,DRAM,1124073472,4.873
lanehash,65536,6.413,0.006,31.71,10218.46,9.51,3,DRAM,1076887552,4.945
lanehash,1048576,6.710,0.001,33.15,156266.85,18.26,3,DRAM,1073938432,4.940
rapidhash-v3,16,0.272,0.001,1.40,58.86,0.20,3,DRAM,50331648,5.140
rapidhash-v3,256,2.308,0.003,11.74,110.91,0.15,3,DRAM,117440512,5.084
rapidhash-v3,1024,5.204,0.005,25.84,196.76,0.17,3,DRAM,318767104,4.965
rapidhash-v3,4096,6.416,0.037,31.86,638.39,3.64,3,DRAM,1124073472,4.965
rapidhash-v3,65536,6.628,0.035,32.92,9888.03,51.28,3,DRAM,1076887552,4.967
rapidhash-v3,1048576,6.556,0.021,32.55,159942.13,516.61,3,DRAM,1073938432,4.965
xxh3,16,0.381,0.004,1.96,41.96,0.46,3,DRAM,50331648,5.140
xxh3,256,2.127,0.001,10.93,120.35,0.04,3,DRAM,117440512,5.139
xxh3,1024,5.775,0.022,29.25,177.31,0.67,3,DRAM,318767104,5.065
xxh3,4096,6.413,0.071,31.33,638.74,7.15,3,DRAM,1124073472,4.886
xxh3,65536,6.712,0.027,32.51,9763.39,39.84,3,DRAM,1076887552,4.843
xxh3,1048576,6.668,0.007,32.88,157244.18,173.98,3,DRAM,1073938432,4.930
# mode=throughput rounds=3 dram=true arena=false thp=false align=Some(16) nbuf=None counter=RDPRU-APERF core=3 commit=2489dfea1c clock_check=APERF 4.943 GHz, APERF/MPERF 1.303 (boost active, governor not settable)
# hash,size,bytes_per_cycle_median,bpc_mad,GB_s_median,cycles_per_hash_median,cph_mad,samples,residency,footprint_bytes,eff_GHz
gxhash-hybrid,16,0.525,0.003,2.70,30.50,0.18,3,DRAM,50331648,5.140
gxhash-hybrid,256,3.007,0.050,15.45,85.14,1.40,3,DRAM,117440512,5.139
gxhash-hybrid,1024,5.101,0.005,26.22,200.74,0.21,3,DRAM,318767104,5.140
gxhash-hybrid,4096,6.198,0.003,31.86,660.86,0.32,3,DRAM,1124073472,5.140
gxhash-hybrid,65536,6.446,0.003,33.12,10166.50,4.21,3,DRAM,1076887552,5.138
gxhash-hybrid,1048576,6.497,0.000,33.39,161387.72,2.41,3,DRAM,1073938432,5.139
