# mode=batch rounds=5 dram=false arena=false thp=false align=Some(16) nbuf=None counter=RDPRU-APERF core=3 commit=2489dfea1c clock_check=APERF 4.942 GHz, APERF/MPERF 1.303 (boost active, governor not settable)
# hash,size,bytes_per_cycle_median,bpc_mad,GB_s_median,cycles_per_hash_median,cph_mad,samples,residency,footprint_bytes,eff_GHz
lanehash-batch1,128,4.270,0.004,20.92,29.98,0.03,5,L1,20480,4.900
lanehash-batch1,256,7.719,0.001,37.91,33.16,0.00,5,L2,28672,4.911
lanehash-batch1,1024,16.490,0.001,81.05,62.10,0.00,5,L2,77824,4.915
lanehash-batch1,4096,24.005,0.000,118.58,170.63,0.00,5,L2,274432,4.940
lanehash-batch2,128,5.102,0.008,25.01,25.09,0.04,5,L1,20480,4.903
lanehash-batch2,256,8.759,0.015,43.05,29.23,0.05,5,L2,28672,4.915
lanehash-batch2,1024,17.201,0.011,84.74,59.53,0.04,5,L2,77824,4.927
lanehash-batch2,4096,24.639,0.004,121.71,166.24,0.03,5,L2,274432,4.940
lanehash-batch4,128,6.162,0.003,30.29,20.77,0.01,5,L1,20480,4.915
lanehash-batch4,256,10.628,0.004,52.24,24.09,0.01,5,L2,28672,4.916
lanehash-batch4,1024,17.818,0.004,87.92,57.47,0.01,5,L2,77824,4.934
lanehash-batch4,4096,24.912,0.004,123.05,164.42,0.03,5,L2,274432,4.939
lanehash-batch8,128,6.602,0.002,32.45,19.39,0.01,5,L1,20480,4.915
lanehash-batch8,256,11.129,0.008,54.76,23.00,0.02,5,L2,28672,4.920
lanehash-batch8,1024,18.153,0.007,89.68,56.41,0.02,5,L2,77824,4.940
lanehash-batch8,4096,24.744,0.000,122.25,165.54,0.00,5,L2,274432,4.941
