# icount: exact per-call instruction mix by ptrace single-step (segment difference); commit=2489dfea1c align=16 core=3 batch=0
# hash,size,instr,loads,stores,aes,branches,vec_stack_movs,prefetch,rep_iters
lanehash,4,72,12,1,0,12,0,0,0
gxhash,4,48,17,3,4,10,0,0,0
rapidhash-v3,4,61,14,4,0,10,2,0,0
xxh3,4,55,12,1,0,9,0,0,0
foldhash,4,42,12,1,0,9,0,0,0
ahash,4,62,14,1,4,10,0,0,0
lanehash,8,72,12,1,0,12,0,0,0
gxhash,8,48,17,3,4,10,0,0,0
rapidhash-v3,8,61,14,4,0,10,2,0,0
xxh3,8,55,12,1,0,9,0,0,0
foldhash,8,38,12,1,0,8,0,0,0
ahash,8,62,14,1,4,10,0,0,0
lanehash,16,69,12,1,0,11,0,0,0
gxhash,16,48,17,3,4,10,0,0,0
rapidhash-v3,16,61,14,4,0,10,2,0,0
xxh3,16,50,12,1,0,9,0,0,0
foldhash,16,38,12,1,0,8,0,0,0
ahash,16,60,14,1,4,10,0,0,0
lanehash,32,73,15,2,0,9,0,0,0
gxhash,32,51,19,3,7,10,0,0,0
rapidhash-v3,32,86,25,11,0,11,2,0,0
xxh3,32,60,14,1,0,9,0,0,0
foldhash,32,68,22,3,0,11,0,0,0
ahash,32,63,15,1,5,11,0,0,0
lanehash,64,115,27,8,0,10,0,0,0
gxhash,64,58,21,3,9,12,0,0,0
rapidhash-v3,64,103,30,11,0,13,2,0,0
xxh3,64,83,18,1,0,10,0,0,0
foldhash,64,80,26,3,0,12,0,0,0
ahash,64,71,17,1,7,10,0,0,0
lanehash,128,85,25,3,13,16,0,0,0
gxhash,128,89,25,3,14,18,0,0,0
rapidhash-v3,128,140,43,11,0,13,2,0,0
xxh3,128,127,26,1,0,11,0,0,0
foldhash,128,90,30,3,0,12,0,0,0
ahash,128,124,21,1,17,14,0,0,0
lanehash,256,99,29,3,17,17,0,0,0
gxhash,256,114,35,4,24,20,0,0,0
rapidhash-v3,256,220,74,18,0,16,2,0,0
xxh3,256,175,29,4,0,19,5,0,0
foldhash,256,147,48,3,0,16,0,0,0
ahash,256,162,29,1,25,16,0,0,0
lanehash,1024,207,55,3,47,23,0,0,0
gxhash,1024,222,83,4,84,26,0,0,0
rapidhash-v3,1024,520,218,18,0,18,2,0,0
xxh3,1024,279,53,5,0,24,5,0,0
foldhash,1024,426,146,3,0,25,0,0,0
ahash,1024,367,77,2,73,19,0,0,0
lanehash,4096,548,155,4,155,24,0,0,0
gxhash,4096,654,275,4,324,50,0,0,0
rapidhash-v3,4096,1733,793,18,0,35,2,0,0
xxh3,4096,668,120,6,0,27,22,0,0
foldhash,4096,1514,530,3,0,57,0,0,0
ahash,4096,1183,269,2,265,31,0,0,0
lanehash,65536,7794,2075,3,2075,146,0,1016,0
gxhash,65536,9294,4115,4,5124,530,0,0,0
rapidhash-v3,65536,25864,12314,18,0,306,2,0,0
xxh3,65536,7928,1080,6,0,87,22,0,0
foldhash,65536,23274,8210,3,0,697,0,0,0
ahash,65536,17503,4109,2,4105,271,0,0,0
lanehash,1048576,101504,32795,4,32795,1045,0,0,0
gxhash,1048576,147534,65555,4,81924,8210,0,0,0
rapidhash-v3,1048576,412060,196634,18,0,4696,2,0,0
xxh3,1048576,124088,16440,6,0,1047,22,0,0
foldhash,1048576,371434,131090,3,0,10937,0,0,0
ahash,1048576,278623,65549,2,65545,4111,0,0,0
# icount: exact per-call instruction mix by ptrace single-step (segment difference); commit=2489dfea1c align=16 core=3 batch=0
# hash,size,instr,loads,stores,aes,branches,vec_stack_movs,prefetch,rep_iters
gxhash-hybrid,4,48,16,4,4,10,0,0,0
gxhash-hybrid,8,48,16,4,4,10,0,0,0
gxhash-hybrid,16,48,16,4,4,10,0,0,0
gxhash-hybrid,32,51,18,4,7,10,0,0,0
gxhash-hybrid,64,58,20,4,9,12,0,0,0
gxhash-hybrid,128,90,24,4,14,18,0,0,0
gxhash-hybrid,256,105,29,4,19,19,0,0,0
gxhash-hybrid,1024,171,53,4,49,25,0,0,0
gxhash-hybrid,4096,435,149,4,169,49,0,0,0
gxhash-hybrid,65536,5715,2069,4,2569,529,0,0,0
gxhash-hybrid,1048576,90195,32789,4,40969,8209,0,0,0
