# icount: exact per-call instruction mix by ptrace single-step (segment difference); commit=2489dfea1c align=16 core=3 batch=0; harness overhead subtracted: 26 instructions per call (empty function: loop, indirect call, ret)
# hash,size,instr,loads,stores,aes,branches,vec_stack_movs,prefetch,rep_iters
lanehash,4,46,2,0,0,6,0,0,0
gxhash,4,22,7,2,4,4,0,0,0
rapidhash-v3,4,35,4,3,0,4,2,0,0
xxh3,4,29,2,0,0,3,0,0,0
foldhash,4,16,2,0,0,3,0,0,0
ahash,4,36,4,0,4,4,0,0,0
lanehash,8,46,2,0,0,6,0,0,0
gxhash,8,22,7,2,4,4,0,0,0
rapidhash-v3,8,35,4,3,0,4,2,0,0
xxh3,8,29,2,0,0,3,0,0,0
foldhash,8,12,2,0,0,2,0,0,0
ahash,8,36,4,0,4,4,0,0,0
lanehash,16,43,2,0,0,5,0,0,0
gxhash,16,22,7,2,4,4,0,0,0
rapidhash-v3,16,35,4,3,0,4,2,0,0
xxh3,16,24,2,0,0,3,0,0,0
foldhash,16,12,2,0,0,2,0,0,0
ahash,16,34,4,0,4,4,0,0,0
lanehash,32,47,5,1,0,3,0,0,0
gxhash,32,25,9,2,7,4,0,0,0
rapidhash-v3,32,60,15,10,0,5,2,0,0
xxh3,32,34,4,0,0,3,0,0,0
foldhash,32,42,12,2,0,5,0,0,0
ahash,32,37,5,0,5,5,0,0,0
lanehash,64,89,17,7,0,4,0,0,0
gxhash,64,32,11,2,9,6,0,0,0
rapidhash-v3,64,77,20,10,0,7,2,0,0
xxh3,64,57,8,0,0,4,0,0,0
foldhash,64,54,16,2,0,6,0,0,0
ahash,64,45,7,0,7,4,0,0,0
lanehash,128,59,15,2,13,10,0,0,0
gxhash,128,63,15,2,14,12,0,0,0
rapidhash-v3,128,114,33,10,0,7,2,0,0
xxh3,128,101,16,0,0,5,0,0,0
foldhash,128,64,20,2,0,6,0,0,0
ahash,128,98,11,0,17,8,0,0,0
lanehash,256,73,19,2,17,11,0,0,0
gxhash,256,88,25,3,24,14,0,0,0
rapidhash-v3,256,194,64,17,0,10,2,0,0
xxh3,256,149,19,3,0,13,5,0,0
foldhash,256,121,38,2,0,10,0,0,0
ahash,256,136,19,0,25,10,0,0,0
lanehash,1024,181,45,2,47,17,0,0,0
gxhash,1024,196,73,3,84,20,0,0,0
rapidhash-v3,1024,494,208,17,0,12,2,0,0
xxh3,1024,253,43,4,0,18,5,0,0
foldhash,1024,400,136,2,0,19,0,0,0
ahash,1024,341,67,1,73,13,0,0,0
lanehash,4096,522,145,3,155,18,0,0,0
gxhash,4096,628,265,3,324,44,0,0,0
rapidhash-v3,4096,1707,783,17,0,29,2,0,0
xxh3,4096,642,110,5,0,21,22,0,0
foldhash,4096,1488,520,2,0,51,0,0,0
ahash,4096,1157,259,1,265,25,0,0,0
lanehash,65536,7768,2065,2,2075,140,0,1016,0
gxhash,65536,9268,4105,3,5124,524,0,0,0
rapidhash-v3,65536,25838,12304,17,0,300,2,0,0
xxh3,65536,7902,1070,5,0,81,22,0,0
foldhash,65536,23248,8200,2,0,691,0,0,0
ahash,65536,17477,4099,1,4105,265,0,0,0
lanehash,1048576,101478,32785,3,32795,1039,0,0,0
gxhash,1048576,147508,65545,3,81924,8204,0,0,0
rapidhash-v3,1048576,412034,196624,17,0,4690,2,0,0
xxh3,1048576,124062,16430,5,0,1041,22,0,0
foldhash,1048576,371408,131080,2,0,10931,0,0,0
ahash,1048576,278597,65539,1,65545,4105,0,0,0
# icount: exact per-call instruction mix by ptrace single-step (segment difference); commit=2489dfea1c align=16 core=3 batch=0
# hash,size,instr,loads,stores,aes,branches,vec_stack_movs,prefetch,rep_iters
gxhash-hybrid,4,23,7,2,4,4,0,0,0
gxhash-hybrid,8,23,7,2,4,4,0,0,0
gxhash-hybrid,16,23,7,2,4,4,0,0,0
gxhash-hybrid,32,26,9,2,7,4,0,0,0
gxhash-hybrid,64,33,11,2,9,6,0,0,0
gxhash-hybrid,128,65,15,2,14,12,0,0,0
gxhash-hybrid,256,80,20,2,19,13,0,0,0
gxhash-hybrid,1024,146,44,2,49,19,0,0,0
gxhash-hybrid,4096,410,140,2,169,43,0,0,0
gxhash-hybrid,65536,5690,2060,2,2569,523,0,0,0
gxhash-hybrid,1048576,90170,32780,2,40969,8203,0,0,0
