# mode=latency rounds=5 dram=false arena=false thp=false align=Some(16) nbuf=None counter=RDPRU-APERF core=3 commit=2489dfea1c clock_check=APERF 4.795 GHz, APERF/MPERF 1.264 (boost active, governor not settable)
# hash,size,bytes_per_cycle_median,bpc_mad,GB_s_median,cycles_per_hash_median,cph_mad,samples,residency,footprint_bytes,eff_GHz
ahash,4,0.113,0.000,0.58,35.40,0.01,5,L1,12288,5.139
ahash,8,0.226,0.000,1.16,35.41,0.01,5,L1,12288,5.140
ahash,16,0.465,0.000,2.39,34.40,0.00,5,L1,12288,5.139
ahash,32,0.877,0.000,4.51,36.48,0.01,5,L1,12288,5.137
ahash,64,1.440,0.000,7.40,44.44,0.01,5,L1,16384,5.140
ahash,256,3.567,0.002,18.33,71.77,0.04,5,L2,28672,5.140
ahash,1024,6.482,0.001,33.21,157.98,0.01,5,L2,77824,5.123
foldhash,4,0.218,0.000,1.11,18.36,0.01,5,L1,12288,5.115
foldhash,8,0.429,0.000,2.19,18.64,0.01,5,L1,12288,5.112
foldhash,16,0.858,0.001,4.40,18.64,0.02,5,L1,12288,5.130
foldhash,32,1.146,0.001,5.80,27.93,0.01,5,L1,12288,5.064
foldhash,64,1.862,0.001,9.46,34.36,0.01,5,L1,16384,5.080
foldhash,256,4.465,0.000,22.60,57.33,0.00,5,L2,28672,5.061
foldhash,1024,6.421,0.001,32.03,159.49,0.02,5,L2,77824,4.988
gxhash,4,0.114,0.000,0.58,35.16,0.01,5,L1,12288,5.138
gxhash,8,0.234,0.000,1.20,34.21,0.01,5,L1,12288,5.136
gxhash,16,0.466,0.000,2.39,34.32,0.01,5,L1,12288,5.136
gxhash,32,0.701,0.000,3.60,45.62,0.01,5,L1,12288,5.139
gxhash,64,1.198,0.000,6.12,53.44,0.01,5,L1,16384,5.112
gxhash,256,3.492,0.000,17.95,73.31,0.00,5,L2,28672,5.140
gxhash,1024,8.941,0.002,45.78,114.52,0.02,5,L2,77824,5.120
lanehash,4,0.146,0.000,0.74,27.41,0.00,5,L1,12288,5.065
lanehash,8,0.292,0.000,1.48,27.41,0.00,5,L1,12288,5.066
lanehash,16,0.606,0.000,3.08,26.38,0.00,5,L1,12288,5.079
lanehash,32,1.155,0.000,5.83,27.71,0.01,5,L1,12288,5.051
lanehash,64,1.767,0.000,8.79,36.22,0.01,5,L1,16384,4.974
lanehash,256,3.679,0.001,18.91,69.58,0.02,5,L2,28672,5.140
lanehash,1024,9.814,0.003,49.86,104.34,0.03,5,L2,77824,5.080
rapidhash-v3,4,0.171,0.000,0.86,23.43,0.00,5,L1,12288,5.019
rapidhash-v3,8,0.341,0.000,1.72,23.43,0.00,5,L1,12288,5.024
rapidhash-v3,16,0.679,0.000,3.42,23.55,0.01,5,L1,12288,5.041
rapidhash-v3,32,1.063,0.001,5.28,30.11,0.01,5,L1,12288,4.972
rapidhash-v3,64,1.569,0.000,7.91,40.79,0.01,5,L1,16384,5.042
rapidhash-v3,256,3.697,0.001,18.36,69.25,0.02,5,L2,28672,4.966
rapidhash-v3,1024,6.473,0.004,32.01,158.19,0.09,5,L2,77824,4.945
xxh3,4,0.138,0.000,0.71,29.02,0.02,5,L1,12288,5.136
xxh3,8,0.276,0.000,1.42,28.97,0.01,5,L1,12288,5.133
xxh3,16,0.588,0.000,3.02,27.21,0.01,5,L1,12288,5.140
xxh3,32,1.110,0.000,5.67,28.84,0.00,5,L1,12288,5.112
xxh3,64,2.025,0.000,10.24,31.61,0.01,5,L1,16384,5.055
xxh3,256,2.398,0.003,12.20,106.76,0.15,5,L2,28672,5.089
xxh3,1024,6.560,0.009,32.96,156.10,0.21,5,L2,77824,5.024
# mode=latency rounds=5 dram=false arena=false thp=false align=Some(16) nbuf=None counter=RDPRU-APERF core=3 commit=2489dfea1c clock_check=APERF 4.977 GHz, APERF/MPERF 1.312 (boost active, governor not settable)
# hash,size,bytes_per_cycle_median,bpc_mad,GB_s_median,cycles_per_hash_median,cph_mad,samples,residency,footprint_bytes,eff_GHz
gxhash-hybrid,4,0.117,0.000,0.60,34.13,0.00,5,L1,12288,5.140
gxhash-hybrid,8,0.234,0.000,1.20,34.24,0.00,5,L1,12288,5.140
gxhash-hybrid,16,0.469,0.000,2.41,34.13,0.01,5,L1,12288,5.140
gxhash-hybrid,32,0.720,0.000,3.70,44.47,0.01,5,L1,12288,5.140
gxhash-hybrid,64,1.196,0.000,6.15,53.52,0.00,5,L1,16384,5.140
gxhash-hybrid,256,3.448,0.000,17.72,74.24,0.01,5,L2,28672,5.140
gxhash-hybrid,1024,8.893,0.001,45.67,115.14,0.01,5,L2,77824,5.135
