# mode=latency rounds=7 dram=false arena=false thp=false align=Some(16) nbuf=None counter=RDPRU-APERF core=3 commit=1dc417cf49-dirty clock_check=APERF 4.969 GHz, APERF/MPERF 1.310 (boost active, governor not settable)
# hash,size,bytes_per_cycle_median,bpc_mad,GB_s_median,cycles_per_hash_median,cph_mad,samples,residency,footprint_bytes,eff_GHz
foldhash,4,0.218,0.000,1.12,18.34,0.01,7,L1,12288,5.135
foldhash,8,0.429,0.000,2.20,18.65,0.01,7,L1,12288,5.140
foldhash,16,0.858,0.001,4.41,18.65,0.02,7,L1,12288,5.139
foldhash,32,1.154,0.000,5.89,27.73,0.00,7,L1,12288,5.101
foldhash,64,1.862,0.001,9.49,34.37,0.02,7,L1,16384,5.096
foldhash,128,3.217,0.001,16.37,39.79,0.01,7,L1,20480,5.089
foldhash,256,4.448,0.002,22.59,57.56,0.03,7,L2,28672,5.079
foldhash,1024,6.410,0.001,32.06,159.75,0.03,7,L2,77824,5.002
foldhash,4096,7.560,0.006,37.71,541.83,0.43,7,L2,274432,4.988
lh2,4,0.158,0.000,0.81,25.38,0.01,7,L1,12288,5.141
lh2,8,0.315,0.000,1.62,25.38,0.00,7,L1,12288,5.141
lh2,16,0.630,0.000,3.24,25.38,0.01,7,L1,12288,5.141
lh2,32,1.211,0.000,6.22,26.43,0.01,7,L1,12288,5.137
lh2,64,1.971,0.000,9.93,32.47,0.01,7,L1,16384,5.040
lh2,128,1.814,0.000,9.32,70.58,0.02,7,L1,20480,5.141
lh2,256,3.061,0.000,15.72,83.65,0.01,7,L2,28672,5.137
lh2,1024,7.799,0.001,38.50,131.29,0.02,7,L2,77824,4.937
lh2,4096,15.999,0.002,79.06,256.01,0.03,7,L2,274432,4.941
rapidhash-v3,4,0.170,0.000,0.86,23.54,0.00,7,L1,12288,5.048
rapidhash-v3,8,0.340,0.000,1.72,23.54,0.00,7,L1,12288,5.061
rapidhash-v3,16,0.680,0.000,3.44,23.53,0.00,7,L1,12288,5.066
rapidhash-v3,32,1.068,0.000,5.33,29.97,0.01,7,L1,12288,4.991
rapidhash-v3,64,1.554,0.000,7.84,41.18,0.01,7,L1,16384,5.044
rapidhash-v3,128,2.905,0.002,14.48,44.06,0.03,7,L1,20480,4.985
rapidhash-v3,256,3.669,0.001,18.27,69.78,0.01,7,L2,28672,4.980
rapidhash-v3,1024,6.486,0.001,32.15,157.87,0.01,7,L2,77824,4.957
rapidhash-v3,4096,7.842,0.002,38.81,522.34,0.12,7,L2,274432,4.949
xxh3,4,0.138,0.000,0.71,29.02,0.02,7,L1,12288,5.141
xxh3,8,0.276,0.000,1.42,29.04,0.02,7,L1,12288,5.136
xxh3,16,0.588,0.000,3.02,27.20,0.01,7,L1,12288,5.138
xxh3,32,1.117,0.000,5.74,28.66,0.00,7,L1,12288,5.141
xxh3,64,2.029,0.002,10.33,31.54,0.03,7,L1,16384,5.089
xxh3,128,3.227,0.004,16.24,39.66,0.05,7,L1,20480,5.033
xxh3,256,2.391,0.003,12.22,107.06,0.15,7,L2,28672,5.109
xxh3,1024,6.554,0.002,33.23,156.25,0.05,7,L2,77824,5.071
xxh3,4096,12.398,0.003,61.26,330.39,0.09,7,L2,274432,4.941
