# mode=latency rounds=5 dram=false arena=false thp=false align=Some(16) nbuf=None counter=RDPRU-APERF core=3 commit=bbb19364b0 clock_check=APERF 4.786 GHz, APERF/MPERF 1.262 (boost active, governor not settable)
# hash,size,bytes_per_cycle_median,bpc_mad,GB_s_median,cycles_per_hash_median,cph_mad,samples,residency,footprint_bytes,eff_GHz
aes,4,0.146,0.000,0.74,27.45,0.01,5,L1,12288,5.061
aes,8,0.292,0.000,1.48,27.42,0.01,5,L1,12288,5.077
aes,16,0.608,0.001,3.09,26.31,0.03,5,L1,12288,5.087
aes,32,1.164,0.000,5.90,27.50,0.01,5,L1,12288,5.070
aes,64,1.767,0.002,8.82,36.22,0.04,5,L1,16384,4.991
aes,256,3.722,0.002,19.11,68.78,0.03,5,L2,28672,5.136
aes,1024,9.879,0.005,50.60,103.66,0.05,5,L2,77824,5.122
ahash,4,0.113,0.000,0.57,35.43,0.02,5,L1,12288,5.053
ahash,8,0.226,0.000,1.15,35.42,0.01,5,L1,12288,5.113
ahash,16,0.465,0.000,2.36,34.44,0.01,5,L1,12288,5.083
ahash,32,0.879,0.000,4.52,36.42,0.02,5,L1,12288,5.140
ahash,64,1.440,0.000,7.40,44.45,0.01,5,L1,16384,5.140
ahash,256,3.554,0.003,18.27,72.04,0.05,5,L2,28672,5.140
ahash,1024,6.458,0.002,33.11,158.57,0.04,5,L2,77824,5.127
foldhash,4,0.218,0.000,1.11,18.39,0.03,5,L1,12288,5.110
foldhash,8,0.430,0.001,2.21,18.61,0.03,5,L1,12288,5.139
foldhash,16,0.858,0.002,4.39,18.65,0.05,5,L1,12288,5.112
foldhash,32,1.153,0.001,5.88,27.75,0.01,5,L1,12288,5.101
foldhash,64,1.862,0.003,9.45,34.37,0.06,5,L1,16384,5.077
foldhash,256,4.465,0.002,22.72,57.34,0.02,5,L2,28672,5.088
foldhash,1024,6.414,0.001,32.14,159.66,0.01,5,L2,77824,5.011
gxhash,4,0.114,0.000,0.58,35.22,0.01,5,L1,12288,5.130
gxhash,8,0.234,0.000,1.20,34.24,0.02,5,L1,12288,5.129
gxhash,16,0.467,0.000,2.40,34.23,0.02,5,L1,12288,5.134
gxhash,32,0.720,0.000,3.70,44.46,0.02,5,L1,12288,5.140
gxhash,64,1.196,0.000,6.12,53.53,0.01,5,L1,16384,5.115
gxhash,256,3.575,0.010,18.38,71.60,0.21,5,L2,28672,5.140
gxhash,1024,9.015,0.001,46.32,113.58,0.01,5,L2,77824,5.138
lanehash,4,0.155,0.000,0.79,25.87,0.01,5,L1,12288,5.113
lanehash,8,0.309,0.000,1.56,25.89,0.02,5,L1,12288,5.065
lanehash,16,0.605,0.000,3.08,26.43,0.01,5,L1,12288,5.081
lanehash,32,1.177,0.001,5.99,27.18,0.02,5,L1,12288,5.086
lanehash,64,1.784,0.002,9.00,35.87,0.05,5,L1,16384,5.043
lanehash,256,3.073,0.001,15.79,83.30,0.03,5,L2,28672,5.138
lanehash,1024,7.829,0.002,38.63,130.80,0.04,5,L2,77824,4.935
rapidhash-v3,4,0.170,0.000,0.85,23.56,0.01,5,L1,12288,5.033
rapidhash-v3,8,0.340,0.000,1.70,23.55,0.00,5,L1,12288,5.007
rapidhash-v3,16,0.680,0.000,3.43,23.54,0.01,5,L1,12288,5.042
rapidhash-v3,32,1.064,0.001,5.33,30.07,0.02,5,L1,12288,5.006
rapidhash-v3,64,1.564,0.000,7.86,40.93,0.00,5,L1,16384,5.024
rapidhash-v3,256,3.689,0.001,18.41,69.40,0.02,5,L2,28672,4.990
rapidhash-v3,1024,6.490,0.002,32.21,157.77,0.05,5,L2,77824,4.962
xxh3,4,0.138,0.000,0.71,29.05,0.03,5,L1,12288,5.122
xxh3,8,0.275,0.000,1.40,29.09,0.02,5,L1,12288,5.099
xxh3,16,0.588,0.000,3.00,27.22,0.01,5,L1,12288,5.109
xxh3,32,1.116,0.000,5.72,28.68,0.01,5,L1,12288,5.126
xxh3,64,2.029,0.004,10.29,31.54,0.06,5,L1,16384,5.073
xxh3,256,2.396,0.002,12.32,106.84,0.11,5,L2,28672,5.140
xxh3,1024,6.580,0.006,33.21,155.63,0.13,5,L2,77824,5.048
