# icount: exact per-call instruction mix by ptrace single-step (segment difference); commit=1dc417cf49-dirty align=16 core=3 batch=0; harness overhead subtracted: 26 instructions per call (empty function: loop, indirect call, ret)
# hash,size,instr,loads,stores,aes,branches,vec_stack_movs,prefetch,rep_iters
rapidhash-v3,4,35,4,3,0,4,2,0,0
# note: rapidhash-v3 4: segment residue -12 (instructions executed more in the 1-call segment than the 3-call one; see dump)
xxh3,4,29,2,0,0,3,0,0,0
# note: xxh3 4: segment residue -12 (instructions executed more in the 1-call segment than the 3-call one; see dump)
lh2,4,35,2,0,0,6,0,0,0
# note: lh2 4: segment residue -12 (instructions executed more in the 1-call segment than the 3-call one; see dump)
rapidhash-v3,16,35,4,3,0,4,2,0,0
# note: rapidhash-v3 16: segment residue -12 (instructions executed more in the 1-call segment than the 3-call one; see dump)
xxh3,16,24,2,0,0,3,0,0,0
# note: xxh3 16: segment residue -12 (instructions executed more in the 1-call segment than the 3-call one; see dump)
lh2,16,31,2,0,0,5,0,0,0
# note: lh2 16: segment residue -12 (instructions executed more in the 1-call segment than the 3-call one; see dump)
rapidhash-v3,32,60,15,10,0,5,2,0,0
# note: rapidhash-v3 32: segment residue -12 (instructions executed more in the 1-call segment than the 3-call one; see dump)
xxh3,32,34,4,0,0,3,0,0,0
# note: xxh3 32: segment residue -12 (instructions executed more in the 1-call segment than the 3-call one; see dump)
lh2,32,38,5,1,0,3,0,0,0
# note: lh2 32: segment residue -12 (instructions executed more in the 1-call segment than the 3-call one; see dump)
rapidhash-v3,64,77,20,10,0,7,2,0,0
# note: rapidhash-v3 64: segment residue -12 (instructions executed more in the 1-call segment than the 3-call one; see dump)
xxh3,64,57,8,0,0,4,0,0,0
# note: xxh3 64: segment residue -12 (instructions executed more in the 1-call segment than the 3-call one; see dump)
lh2,64,69,14,6,0,4,0,0,0
# note: lh2 64: segment residue -12 (instructions executed more in the 1-call segment than the 3-call one; see dump)
