# mode=latency rounds=7 dram=false arena=false thp=false align=Some(16) nbuf=None counter=RDPRU-APERF core=3 commit=1dc417cf49-dirty clock_check=APERF 4.944 GHz, APERF/MPERF 1.304 (boost active, governor not settable)
# hash,size,bytes_per_cycle_median,bpc_mad,GB_s_median,cycles_per_hash_median,cph_mad,samples,residency,footprint_bytes,eff_GHz
foldhash,4,0.218,0.000,1.11,18.37,0.01,7,L1,12288,5.102
foldhash,8,0.430,0.001,2.20,18.62,0.03,7,L1,12288,5.117
foldhash,16,0.860,0.001,4.39,18.59,0.02,7,L1,12288,5.105
foldhash,32,1.154,0.001,5.81,27.74,0.01,7,L1,12288,5.035
foldhash,64,1.861,0.000,9.38,34.39,0.01,7,L1,16384,5.039
foldhash,128,3.216,0.002,16.19,39.80,0.02,7,L1,20480,5.035
lh2,4,0.155,0.000,0.79,25.87,0.00,7,L1,12288,5.090
lh2,8,0.309,0.000,1.57,25.88,0.01,7,L1,12288,5.072
lh2,16,0.605,0.000,3.08,26.43,0.01,7,L1,12288,5.095
lh2,32,1.180,0.002,5.95,27.13,0.04,7,L1,12288,5.046
lh2,64,1.785,0.005,8.92,35.86,0.09,7,L1,16384,4.996
lh2,128,1.817,0.001,9.26,70.44,0.02,7,L1,20480,5.098
rapidhash-v3,4,0.171,0.000,0.86,23.40,0.00,7,L1,12288,5.018
rapidhash-v3,8,0.341,0.000,1.71,23.45,0.01,7,L1,12288,5.020
rapidhash-v3,16,0.679,0.000,3.41,23.56,0.01,7,L1,12288,5.020
rapidhash-v3,32,1.067,0.001,5.30,30.00,0.02,7,L1,12288,4.966
rapidhash-v3,64,1.569,0.001,7.83,40.80,0.02,7,L1,16384,4.991
rapidhash-v3,128,2.925,0.004,14.51,43.77,0.06,7,L1,20480,4.961
xxh3,4,0.138,0.000,0.70,29.05,0.01,7,L1,12288,5.112
xxh3,8,0.276,0.000,1.41,29.03,0.01,7,L1,12288,5.133
xxh3,16,0.588,0.000,3.01,27.22,0.01,7,L1,12288,5.125
xxh3,32,1.116,0.000,5.68,28.67,0.00,7,L1,12288,5.090
xxh3,64,2.026,0.001,10.19,31.59,0.01,7,L1,16384,5.029
xxh3,128,3.243,0.001,16.16,39.47,0.01,7,L1,20480,4.985
