# mode=throughput rounds=7 dram=false arena=false thp=false align=Some(16) nbuf=None counter=RDPRU-APERF core=3 commit=1dc417cf49-dirty clock_check=APERF 4.242 GHz, APERF/MPERF 1.118 (boost active, governor not settable)
# hash,size,bytes_per_cycle_median,bpc_mad,GB_s_median,cycles_per_hash_median,cph_mad,samples,residency,footprint_bytes,eff_GHz
foldhash,4,0.482,0.006,2.35,8.30,0.10,7,L1,12288,4.879
foldhash,8,1.163,0.001,5.75,6.88,0.01,7,L1,12288,4.940
foldhash,16,2.323,0.002,11.44,6.89,0.01,7,L1,12288,4.923
foldhash,32,2.567,0.007,12.62,12.47,0.04,7,L1,12288,4.916
foldhash,64,4.229,0.023,20.79,15.14,0.08,7,L1,16384,4.916
lh2,4,0.335,0.001,1.66,11.94,0.02,7,L1,12288,4.943
lh2,8,0.668,0.002,3.30,11.98,0.04,7,L1,12288,4.942
lh2,16,1.400,0.002,6.92,11.43,0.02,7,L1,12288,4.940
lh2,32,2.368,0.001,11.69,13.51,0.01,7,L1,12288,4.938
lh2,64,3.017,0.002,14.91,21.21,0.01,7,L1,16384,4.940
rapidhash-v3,4,0.337,0.002,1.66,11.86,0.07,7,L1,12288,4.925
rapidhash-v3,8,0.680,0.000,3.34,11.76,0.01,7,L1,12288,4.917
rapidhash-v3,16,1.360,0.001,6.69,11.76,0.00,7,L1,12288,4.915
rapidhash-v3,32,1.883,0.002,9.21,16.99,0.02,7,L1,12288,4.894
rapidhash-v3,64,3.046,0.002,14.97,21.01,0.01,7,L1,16384,4.913
xxh3,4,0.397,0.002,1.95,10.08,0.04,7,L1,12288,4.926
xxh3,8,0.802,0.001,3.96,9.98,0.01,7,L1,12288,4.939
xxh3,16,1.691,0.002,8.35,9.46,0.01,7,L1,12288,4.940
xxh3,32,2.679,0.003,13.23,11.94,0.01,7,L1,12288,4.937
xxh3,64,3.742,0.010,18.45,17.10,0.05,7,L1,16384,4.931
