# mode=throughput rounds=7 dram=false arena=false thp=false align=Some(16) nbuf=None counter=RDPRU-APERF core=3 commit=1dc417cf49-dirty clock_check=APERF 5.130 GHz, APERF/MPERF 1.353 (boost active, governor not settable)
# hash,size,bytes_per_cycle_median,bpc_mad,GB_s_median,cycles_per_hash_median,cph_mad,samples,residency,footprint_bytes,eff_GHz
lh2k-scalar,128,1.394,0.002,6.89,91.80,0.14,7,L1,20480,4.940
lh2k-scalar,256,1.623,0.000,8.02,157.76,0.03,7,L2,28672,4.940
lh2k-scalar,1024,2.328,0.001,11.50,439.78,0.21,7,L2,77824,4.940
lh2k-scalar,4096,3.533,0.001,17.43,1159.44,0.44,7,L2,274432,4.933
lh2k-scalar,65536,4.203,0.001,20.70,15591.96,2.33,7,L2,525824,4.926
lh2k-scalar,1048576,4.246,0.001,20.88,246935.11,57.39,7,L3,4195072,4.918
rapidhash-v3,128,4.047,0.002,19.90,31.63,0.02,7,L1,20480,4.918
rapidhash-v3,256,4.220,0.001,20.87,60.67,0.01,7,L2,28672,4.946
rapidhash-v3,1024,6.858,0.001,33.88,149.32,0.01,7,L2,77824,4.940
rapidhash-v3,4096,8.298,0.001,40.99,493.63,0.07,7,L2,274432,4.940
rapidhash-v3,65536,8.801,0.007,43.48,7446.33,6.02,7,L2,525824,4.940
rapidhash-v3,1048576,8.523,0.005,42.10,123034.82,68.15,7,L3,4195072,4.940
xxh3,128,4.447,0.004,21.97,28.78,0.02,7,L1,20480,4.939
xxh3,256,2.739,0.003,13.56,93.45,0.11,7,L2,28672,4.950
xxh3,1024,5.752,0.004,28.45,178.02,0.13,7,L2,77824,4.946
xxh3,4096,7.608,0.010,37.66,538.40,0.69,7,L2,274432,4.950
xxh3,65536,8.707,0.003,43.11,7526.41,2.83,7,L2,525824,4.951
xxh3,1048576,8.726,0.006,43.11,120172.06,88.71,7,L3,4195072,4.941
