# mode=throughput rounds=7 dram=false arena=false thp=false align=Some(16) nbuf=None counter=RDPRU-APERF core=3 commit=1dc417cf49-dirty clock_check=APERF 4.940 GHz, APERF/MPERF 1.303 (boost active, governor not settable)
# hash,size,bytes_per_cycle_median,bpc_mad,GB_s_median,cycles_per_hash_median,cph_mad,samples,residency,footprint_bytes,eff_GHz
lh2,128,4.245,0.002,20.93,30.15,0.02,7,L1,20480,4.930
lh2,256,6.306,0.002,31.07,40.60,0.01,7,L2,28672,4.928
lh2,1024,14.106,0.003,69.71,72.59,0.01,7,L2,77824,4.942
lh2,4096,21.867,0.004,108.02,187.32,0.04,7,L2,274432,4.940
lh2,65536,26.581,0.004,131.30,2465.48,0.39,7,L2,525824,4.939
lh2,1048576,24.776,0.144,122.31,42322.56,246.72,7,L3,4195072,4.937
lh2k-scalar,128,0.869,0.000,4.29,147.30,0.07,7,L1,20480,4.942
lh2k-scalar,256,1.227,0.000,6.06,208.59,0.08,7,L2,28672,4.935
lh2k-scalar,1024,2.162,0.011,10.66,473.54,2.53,7,L2,77824,4.932
lh2k-scalar,4096,3.465,0.003,17.10,1182.09,1.08,7,L2,274432,4.936
lh2k-scalar,65536,4.201,0.005,20.68,15600.06,17.27,7,L2,525824,4.923
lh2k-scalar,1048576,4.202,0.000,20.65,249523.06,27.06,7,L3,4195072,4.915
lh2k-sse2,128,2.819,0.004,13.97,45.41,0.06,7,L1,20480,4.957
lh2k-sse2,256,3.364,0.002,16.75,76.10,0.04,7,L2,28672,4.980
lh2k-sse2,1024,5.864,0.001,28.85,174.64,0.03,7,L2,77824,4.920
lh2k-sse2,4096,9.653,0.010,47.44,424.34,0.45,7,L2,274432,4.915
lh2k-sse2,65536,11.946,0.005,58.67,5485.89,2.34,7,L2,525824,4.911
lh2k-sse2,1048576,12.154,0.004,59.45,86270.77,30.68,7,L3,4195072,4.891
rapidhash-v3,128,4.052,0.001,19.93,31.59,0.01,7,L1,20480,4.919
rapidhash-v3,256,4.220,0.001,20.88,60.67,0.01,7,L2,28672,4.950
rapidhash-v3,1024,6.767,0.003,33.42,151.33,0.06,7,L2,77824,4.939
rapidhash-v3,4096,8.264,0.002,40.81,495.64,0.12,7,L2,274432,4.939
rapidhash-v3,65536,8.786,0.004,43.25,7459.02,3.25,7,L2,525824,4.922
rapidhash-v3,1048576,8.498,0.029,41.78,123389.85,420.91,7,L3,4195072,4.917
xxh3,128,4.452,0.017,21.99,28.75,0.11,7,L1,20480,4.940
xxh3,256,2.770,0.001,13.72,92.41,0.05,7,L2,28672,4.951
xxh3,1024,5.754,0.003,28.42,177.95,0.11,7,L2,77824,4.939
xxh3,4096,7.553,0.005,37.36,542.33,0.39,7,L2,274432,4.947
xxh3,65536,8.545,0.005,42.39,7669.63,4.66,7,L2,525824,4.961
xxh3,1048576,8.338,0.028,41.16,125759.52,430.46,7,L3,4195072,4.937
