# mode=throughput rounds=7 dram=false arena=false thp=false align=Some(16) nbuf=None counter=RDPRU-APERF core=3 commit=1dc417cf49-dirty clock_check=APERF 5.107 GHz, APERF/MPERF 1.347 (boost active, governor not settable)
# hash,size,bytes_per_cycle_median,bpc_mad,GB_s_median,cycles_per_hash_median,cph_mad,samples,residency,footprint_bytes,eff_GHz
lh2,128,3.981,0.001,19.66,32.15,0.01,7,L1,20480,4.939
lh2,256,6.040,0.008,29.84,42.39,0.05,7,L2,28672,4.940
lh2,1024,14.016,0.008,69.24,73.06,0.04,7,L2,77824,4.940
lh2,4096,22.285,0.006,110.08,183.80,0.05,7,L2,274432,4.940
lh2,65536,27.839,0.018,137.52,2354.10,1.49,7,L2,525824,4.940
lh2,1048576,24.462,0.092,120.61,42865.51,162.56,7,L3,4195072,4.930
lh2k-scalar,128,0.880,0.001,4.35,145.44,0.20,7,L1,20480,4.940
lh2k-scalar,256,1.286,0.000,6.35,199.09,0.03,7,L2,28672,4.940
lh2k-scalar,1024,2.365,0.002,11.67,432.94,0.40,7,L2,77824,4.935
lh2k-scalar,4096,3.547,0.000,17.46,1154.77,0.11,7,L2,274432,4.923
lh2k-scalar,65536,4.206,0.002,20.75,15582.53,6.29,7,L2,525824,4.934
lh2k-scalar,1048576,4.254,0.002,20.91,246493.40,94.60,7,L3,4195072,4.915
rapidhash-v3,128,3.784,0.004,18.60,33.83,0.04,7,L1,20480,4.915
rapidhash-v3,256,4.099,0.004,20.24,62.45,0.05,7,L2,28672,4.939
rapidhash-v3,1024,6.629,0.005,32.68,154.46,0.11,7,L2,77824,4.930
rapidhash-v3,4096,7.746,0.002,38.09,528.81,0.11,7,L2,274432,4.918
rapidhash-v3,65536,8.129,0.003,40.00,8061.64,2.63,7,L2,525824,4.920
rapidhash-v3,1048576,8.070,0.008,39.66,129936.42,126.26,7,L3,4195072,4.914
xxh3,128,3.903,0.001,19.38,32.79,0.01,7,L1,20480,4.964
xxh3,256,2.725,0.001,13.47,93.96,0.05,7,L2,28672,4.944
xxh3,1024,5.244,0.008,25.94,195.27,0.29,7,L2,77824,4.948
xxh3,4096,7.270,0.009,36.01,563.42,0.69,7,L2,274432,4.954
xxh3,65536,8.504,0.003,42.20,7706.86,2.38,7,L2,525824,4.963
xxh3,1048576,8.530,0.027,42.23,122929.30,385.75,7,L3,4195072,4.950
