# mode=throughput rounds=7 dram=false arena=false thp=false align=Some(16) nbuf=None counter=RDPRU-APERF core=3 commit=1dc417cf49-dirty clock_check=APERF 4.940 GHz, APERF/MPERF 1.303 (boost active, governor not settable)
# hash,size,bytes_per_cycle_median,bpc_mad,GB_s_median,cycles_per_hash_median,cph_mad,samples,residency,footprint_bytes,eff_GHz
lanehash,128,7.474,0.019,36.93,17.13,0.04,7,L1,20480,4.941
lanehash,256,11.126,0.008,54.95,23.01,0.02,7,L2,28672,4.939
lanehash,1024,18.046,0.008,89.39,56.74,0.02,7,L2,77824,4.954
lanehash,4096,24.997,0.001,124.11,163.86,0.01,7,L2,274432,4.965
lanehash,65536,30.429,0.015,150.28,2153.74,1.05,7,L2,525824,4.939
lanehash,1048576,23.542,0.062,116.41,44539.77,116.85,7,L3,4195072,4.945
lh2,128,4.081,0.002,20.26,31.36,0.02,7,L1,20480,4.965
lh2,256,5.685,0.004,28.31,45.03,0.03,7,L2,28672,4.980
lh2,1024,13.605,0.006,67.21,75.26,0.04,7,L2,77824,4.940
lh2,4096,21.781,0.002,107.59,188.06,0.01,7,L2,274432,4.940
lh2,65536,26.995,0.010,133.35,2427.73,0.86,7,L2,525824,4.940
lh2,1048576,24.906,0.028,122.40,42100.74,46.62,7,L3,4195072,4.914
lh2k-avx2,128,4.575,0.009,22.71,27.98,0.05,7,L1,20480,4.965
lh2k-avx2,256,6.142,0.004,30.58,41.68,0.03,7,L2,28672,4.979
lh2k-avx2,1024,12.427,0.008,61.66,82.40,0.06,7,L2,77824,4.962
lh2k-avx2,4096,20.653,0.005,102.04,198.33,0.05,7,L2,274432,4.941
lh2k-avx2,65536,27.491,0.005,135.67,2383.92,0.41,7,L2,525824,4.935
lh2k-avx2,1048576,23.785,0.016,117.30,44085.08,30.39,7,L3,4195072,4.932
lh2k-avx512,128,4.182,0.004,20.76,30.61,0.03,7,L1,20480,4.965
lh2k-avx512,256,5.679,0.002,28.23,45.08,0.02,7,L2,28672,4.972
lh2k-avx512,1024,13.548,0.016,66.95,75.58,0.09,7,L2,77824,4.942
lh2k-avx512,4096,21.797,0.003,107.67,187.92,0.03,7,L2,274432,4.940
lh2k-avx512,65536,26.977,0.009,133.27,2429.37,0.77,7,L2,525824,4.940
lh2k-avx512,1048576,24.862,0.030,122.74,42175.56,51.15,7,L3,4195072,4.937
lh2k-block-avx2,128,4.723,0.004,23.38,27.10,0.02,7,L1,20480,4.950
lh2k-block-avx2,256,8.009,0.001,39.57,31.96,0.00,7,L2,28672,4.941
lh2k-block-avx2,1024,12.830,0.015,63.39,79.81,0.09,7,L2,77824,4.940
lh2k-block-avx2,4096,15.091,0.026,74.69,271.42,0.47,7,L2,274432,4.949
lh2k-block-avx2,65536,17.835,0.027,88.07,3674.61,5.49,7,L2,525824,4.938
lh2k-block-avx2,1048576,17.283,0.013,84.98,60672.21,44.97,7,L3,4195072,4.917
lh2k-block-avx512,128,4.712,0.003,23.40,27.16,0.02,7,L1,20480,4.965
lh2k-block-avx512,256,7.886,0.010,38.95,32.46,0.04,7,L2,28672,4.939
lh2k-block-avx512,1024,13.812,0.010,68.27,74.14,0.05,7,L2,77824,4.943
lh2k-block-avx512,4096,16.045,0.021,79.20,255.28,0.33,7,L2,274432,4.936
lh2k-block-avx512,65536,21.811,0.003,107.74,3004.77,0.38,7,L2,525824,4.940
lh2k-block-avx512,1048576,21.019,0.025,103.82,49885.95,58.23,7,L3,4195072,4.939
lh2k-sse2,128,3.221,0.003,15.99,39.73,0.04,7,L1,20480,4.964
lh2k-sse2,256,3.831,0.004,19.21,66.83,0.07,7,L2,28672,5.014
lh2k-sse2,1024,7.338,0.002,36.28,139.55,0.04,7,L2,77824,4.944
lh2k-sse2,4096,11.392,0.002,56.41,359.54,0.06,7,L2,274432,4.952
lh2k-sse2,65536,14.482,0.007,71.86,4525.45,2.05,7,L2,525824,4.962
lh2k-sse2,1048576,13.769,0.008,67.98,76152.26,44.94,7,L3,4195072,4.937
rapidhash-v3,128,4.073,0.005,20.10,31.43,0.04,7,L1,20480,4.934
rapidhash-v3,256,4.139,0.003,20.54,61.86,0.05,7,L2,28672,4.963
rapidhash-v3,1024,6.763,0.004,33.38,151.41,0.08,7,L2,77824,4.936
rapidhash-v3,4096,8.251,0.001,40.74,496.45,0.03,7,L2,274432,4.938
rapidhash-v3,65536,8.770,0.007,43.32,7473.09,6.00,7,L2,525824,4.940
rapidhash-v3,1048576,8.501,0.006,41.80,123349.58,83.92,7,L3,4195072,4.918
xxh3,128,4.448,0.003,22.08,28.78,0.02,7,L1,20480,4.963
xxh3,256,2.627,0.005,13.49,97.45,0.17,7,L2,28672,5.135
xxh3,1024,7.082,0.003,35.84,144.59,0.07,7,L2,77824,5.061
xxh3,4096,13.290,0.001,65.65,308.20,0.01,7,L2,274432,4.940
xxh3,65536,18.494,0.002,91.35,3543.56,0.37,7,L2,525824,4.939
xxh3,1048576,17.909,0.051,88.39,58550.55,166.90,7,L3,4195072,4.936
