# mode=throughput rounds=5 dram=false arena=false thp=false align=Some(16) nbuf=None counter=RDPRU-APERF core=3 commit=bbb19364b0 clock_check=APERF 4.241 GHz, APERF/MPERF 1.118 (boost active, governor not settable)
# hash,size,bytes_per_cycle_median,bpc_mad,GB_s_median,cycles_per_hash_median,cph_mad,samples,residency,footprint_bytes,eff_GHz
aes,16,1.012,0.000,5.07,15.80,0.01,5,L1,12288,5.009
aes,256,11.332,0.026,56.23,22.59,0.05,5,L2,28672,4.962
aes,1024,18.269,0.027,90.69,56.05,0.08,5,L2,77824,4.964
aes,4096,25.141,0.002,124.61,162.92,0.02,5,L2,274432,4.957
aes,65536,30.284,0.009,149.81,2164.05,0.66,5,L2,525824,4.947
aes,1048576,25.201,0.068,124.84,41609.05,113.28,5,L3,4195072,4.954
ahash,16,1.174,0.000,5.85,13.62,0.00,5,L1,12288,4.985
ahash,256,7.263,0.005,36.45,35.24,0.03,5,L2,28672,5.018
ahash,1024,9.391,0.006,47.72,109.04,0.07,5,L2,77824,5.082
ahash,4096,9.073,0.006,46.37,451.47,0.32,5,L2,274432,5.111
ahash,65536,8.951,0.002,45.72,7321.48,1.83,5,L2,525824,5.108
ahash,1048576,8.901,0.008,44.76,117806.35,103.61,5,L3,4195072,5.028
foldhash,16,2.063,0.001,10.26,7.75,0.01,5,L1,12288,4.970
foldhash,256,7.004,0.002,34.95,36.55,0.01,5,L2,28672,4.990
foldhash,1024,7.862,0.004,39.17,130.24,0.06,5,L2,77824,4.982
foldhash,4096,8.126,0.007,40.51,504.06,0.44,5,L2,274432,4.986
foldhash,65536,8.180,0.003,40.80,8012.15,2.72,5,L2,525824,4.988
foldhash,1048576,8.147,0.009,40.39,128706.95,143.88,5,L3,4195072,4.958
gxhash,16,1.627,0.001,8.04,9.84,0.01,5,L1,12288,4.946
gxhash,256,11.711,0.001,57.89,21.86,0.00,5,L2,28672,4.944
gxhash,1024,16.940,0.006,84.01,60.45,0.02,5,L2,77824,4.959
gxhash,4096,22.425,0.004,111.33,182.65,0.03,5,L2,274432,4.964
gxhash,65536,24.864,0.013,122.81,2635.75,1.33,5,L2,525824,4.939
gxhash,1048576,23.977,0.119,118.24,43731.91,218.12,5,L3,4195072,4.931
lanehash,16,1.397,0.004,6.94,11.46,0.03,5,L1,12288,4.968
lanehash,256,5.776,0.008,28.74,44.32,0.06,5,L2,28672,4.976
lanehash,1024,13.609,0.006,67.08,75.25,0.03,5,L2,77824,4.929
lanehash,4096,21.760,0.002,104.50,188.24,0.01,5,L2,274432,4.803
lanehash,65536,26.974,0.005,133.20,2429.61,0.46,5,L2,525824,4.938
lanehash,1048576,26.382,0.256,128.86,39746.64,382.59,5,L3,4195072,4.884
rapidhash-v3,16,1.355,0.004,6.69,11.81,0.03,5,L1,12288,4.937
rapidhash-v3,256,4.140,0.002,20.57,61.84,0.03,5,L2,28672,4.970
rapidhash-v3,1024,6.767,0.003,33.56,151.32,0.08,5,L2,77824,4.959
rapidhash-v3,4096,8.244,0.003,40.73,496.82,0.17,5,L2,274432,4.940
rapidhash-v3,65536,8.774,0.002,43.39,7469.09,2.04,5,L2,525824,4.945
rapidhash-v3,1048576,8.673,0.041,42.80,120905.12,570.20,5,L3,4195072,4.935
xxh3,16,1.695,0.001,8.42,9.44,0.01,5,L1,12288,4.964
xxh3,256,2.640,0.001,13.56,96.99,0.05,5,L2,28672,5.138
xxh3,1024,7.093,0.005,36.00,144.37,0.09,5,L2,77824,5.076
xxh3,4096,13.242,0.010,65.36,309.31,0.24,5,L2,274432,4.936
xxh3,65536,18.489,0.004,91.34,3544.56,0.86,5,L2,525824,4.940
xxh3,1048576,18.310,0.121,90.38,57267.82,379.47,5,L3,4195072,4.936
