=== wasm (node), +simd128 build, final ===
# node v24.17.0 simd128=true pkg=./pkg-simd
hash,size,ns_per_byte,ns_per_hash
lh2-simd128,256,0.1505,38.5
lh2-simd128,1024,0.0850,87.0
lh2-simd128,4096,0.0446,182.8
lh2-simd128,65536,0.0492,3223.6
lh2-simd128,1048576,0.3215,337169.3
lh2-scalar,256,0.2601,66.6
lh2-scalar,1024,0.1376,140.9
lh2-scalar,4096,0.0776,317.8
lh2-scalar,65536,0.0760,4982.1
lh2-scalar,1048576,0.3475,364361.8
xxh3,256,0.1110,28.4
xxh3,1024,0.0516,52.9
xxh3,4096,0.0389,159.4
xxh3,65536,0.0521,3416.4
xxh3,1048576,0.3254,341206.4
rapidhash,256,0.2353,60.2
rapidhash,1024,0.1986,203.3
rapidhash,4096,0.1889,773.6
rapidhash,65536,0.2031,13311.9
rapidhash,1048576,0.4785,501784.2
