# mode=latency rounds=5 dram=false align=Some(16) counter=RDPRU-APERF pinned=taskset
# hash,size,bytes_per_cycle_median,bpc_mad,GB_s_median,cycles_per_hash_median,cph_mad,samples
ahash,4,0.113,0.000,0.55,35.39,0.01,5
ahash,8,0.226,0.000,1.10,35.39,0.01,5
ahash,16,0.465,0.000,2.26,34.38,0.00,5
ahash,32,0.856,0.000,4.16,37.39,0.02,5
ahash,64,1.432,0.000,6.87,44.68,0.00,5
ahash,128,2.008,0.001,9.80,63.74,0.02,5
ahash,256,3.516,0.001,17.17,72.80,0.02,5
ahash,1024,6.441,0.002,31.32,158.98,0.04,5
foldhash,4,0.214,0.000,1.04,18.65,0.02,5
foldhash,8,0.426,0.000,2.06,18.80,0.02,5
foldhash,16,0.855,0.001,4.12,18.71,0.01,5
foldhash,32,1.183,0.001,5.73,27.06,0.03,5
foldhash,64,1.889,0.002,9.07,33.89,0.03,5
foldhash,128,3.203,0.001,15.59,39.96,0.02,5
foldhash,256,4.401,0.002,21.39,58.17,0.03,5
foldhash,1024,6.374,0.001,30.96,160.64,0.02,5
gxhash,4,0.111,0.000,0.54,35.98,0.01,5
gxhash,8,0.229,0.000,1.11,34.92,0.01,5
gxhash,16,0.457,0.001,2.22,35.00,0.08,5
gxhash,32,0.705,0.000,3.42,45.42,0.01,5
gxhash,64,1.176,0.000,5.65,54.44,0.01,5
gxhash,128,2.108,0.000,10.30,60.71,0.01,5
gxhash,256,3.621,0.000,17.68,70.71,0.00,5
gxhash,1024,9.094,0.006,44.12,112.60,0.07,5
lanehash,4,0.151,0.000,0.73,26.47,0.02,5
lanehash,8,0.302,0.000,1.46,26.48,0.00,5
lanehash,16,0.628,0.001,3.01,25.49,0.04,5
lanehash,32,1.168,0.000,5.65,27.40,0.00,5
lanehash,64,1.649,0.001,7.91,38.80,0.03,5
lanehash,128,2.195,0.001,10.68,58.32,0.02,5
lanehash,256,3.709,0.002,18.04,69.02,0.04,5
lanehash,1024,9.814,0.002,47.62,104.34,0.02,5
lanehash-aesni,4,0.151,0.000,0.73,26.42,0.01,5
lanehash-aesni,8,0.303,0.000,1.44,26.43,0.01,5
lanehash-aesni,16,0.628,0.000,3.03,25.46,0.02,5
lanehash-aesni,32,1.150,0.002,5.56,27.84,0.04,5
lanehash-aesni,64,1.614,0.001,7.72,39.64,0.02,5
lanehash-aesni,128,2.218,0.001,10.80,57.70,0.03,5
lanehash-aesni,256,3.804,0.001,18.49,67.30,0.03,5
lanehash-aesni,1024,9.290,0.007,45.02,110.23,0.08,5
lanehash-spec,4,0.149,0.000,0.72,26.78,0.01,5
lanehash-spec,8,0.299,0.000,1.45,26.77,0.01,5
lanehash-spec,16,0.623,0.000,3.00,25.66,0.01,5
lanehash-spec,32,1.162,0.000,5.62,27.53,0.01,5
lanehash-spec,64,1.606,0.001,7.68,39.86,0.01,5
lanehash-spec,128,0.079,0.000,0.39,1613.08,0.30,5
lanehash-spec,256,0.117,0.000,0.57,2180.19,0.75,5
lanehash-spec,1024,0.166,0.000,0.80,6185.06,1.45,5
lanehash-vaes256,4,0.151,0.000,0.73,26.47,0.01,5
lanehash-vaes256,8,0.302,0.000,1.46,26.45,0.01,5
lanehash-vaes256,16,0.628,0.000,3.04,25.49,0.01,5
lanehash-vaes256,32,1.168,0.000,5.62,27.41,0.01,5
lanehash-vaes256,64,1.598,0.001,7.67,40.06,0.03,5
lanehash-vaes256,128,2.139,0.001,10.44,59.83,0.04,5
lanehash-vaes256,256,3.688,0.002,17.96,69.41,0.03,5
lanehash-vaes256,1024,9.694,0.004,47.06,105.63,0.04,5
rapidhash-v3,4,0.169,0.000,0.81,23.70,0.01,5
rapidhash-v3,8,0.338,0.000,1.63,23.70,0.00,5
rapidhash-v3,16,0.675,0.000,3.28,23.69,0.00,5
rapidhash-v3,32,1.053,0.000,5.10,30.38,0.00,5
rapidhash-v3,64,1.550,0.001,7.46,41.30,0.04,5
rapidhash-v3,128,2.892,0.000,14.00,44.27,0.00,5
rapidhash-v3,256,3.686,0.002,17.86,69.45,0.04,5
rapidhash-v3,1024,6.467,0.002,31.28,158.35,0.04,5
xxh3,4,0.141,0.000,0.68,28.40,0.01,5
xxh3,8,0.282,0.000,1.37,28.41,0.00,5
xxh3,16,0.579,0.001,2.81,27.65,0.06,5
xxh3,32,1.116,0.000,5.40,28.68,0.01,5
xxh3,64,1.943,0.003,9.33,32.95,0.05,5
xxh3,128,3.293,0.002,15.96,38.87,0.03,5
xxh3,256,2.378,0.001,11.56,107.67,0.06,5
xxh3,1024,6.511,0.017,31.60,157.26,0.41,5
