# mode=throughput rounds=5 dram=false align=Some(16) counter=RDPRU-APERF pinned=taskset
# hash,size,bytes_per_cycle_median,bpc_mad,GB_s_median,cycles_per_hash_median,cph_mad,samples
ahash,4,0.276,0.000,1.33,14.48,0.01,5
ahash,8,0.554,0.001,2.68,14.45,0.02,5
ahash,16,1.284,0.003,6.15,12.46,0.03,5
ahash,32,2.214,0.004,10.67,14.45,0.03,5
ahash,64,4.100,0.002,19.78,15.61,0.01,5
ahash,128,5.001,0.002,24.20,25.59,0.01,5
ahash,256,6.960,0.008,33.67,36.78,0.04,5
ahash,1024,9.309,0.010,45.03,110.01,0.12,5
ahash,4096,9.084,0.007,44.15,450.89,0.34,5
ahash,16384,8.772,0.008,42.43,1867.74,1.60,5
ahash,65536,8.840,0.010,42.98,7413.33,8.26,5
ahash,1048576,8.867,0.011,42.76,118258.49,146.95,5
foldhash,4,0.481,0.001,2.31,8.31,0.01,5
foldhash,8,1.075,0.001,5.16,7.44,0.01,5
foldhash,16,2.146,0.006,10.27,7.45,0.02,5
foldhash,32,2.460,0.008,11.75,13.01,0.04,5
foldhash,64,4.006,0.005,19.15,15.97,0.02,5
foldhash,128,6.468,0.006,31.11,19.79,0.02,5
foldhash,256,7.021,0.003,33.92,36.46,0.02,5
foldhash,1024,7.842,0.007,37.81,130.57,0.11,5
foldhash,4096,8.127,0.004,39.32,504.01,0.23,5
foldhash,16384,7.986,0.005,38.56,2051.67,1.28,5
foldhash,65536,8.007,0.021,38.74,8184.93,21.75,5
foldhash,1048576,8.077,0.007,38.77,129823.31,114.26,5
gxhash,4,0.382,0.000,1.84,10.47,0.01,5
gxhash,8,0.762,0.003,3.67,10.49,0.04,5
gxhash,16,1.522,0.002,7.32,10.51,0.02,5
gxhash,32,2.998,0.003,14.39,10.67,0.01,5
gxhash,64,5.202,0.009,24.99,12.30,0.02,5
gxhash,128,7.901,0.013,37.78,16.20,0.03,5
gxhash,256,11.406,0.044,54.61,22.44,0.09,5
gxhash,1024,16.783,0.015,80.71,61.02,0.05,5
gxhash,4096,22.182,0.008,106.51,184.66,0.07,5
gxhash,16384,21.083,0.027,101.34,777.11,1.01,5
gxhash,65536,24.446,0.427,116.10,2680.80,46.07,5
gxhash,1048576,23.862,0.079,113.82,43943.56,146.89,5
lanehash,4,0.206,0.000,1.00,19.41,0.04,5
lanehash,8,0.412,0.001,1.98,19.43,0.02,5
lanehash,16,0.862,0.001,4.14,18.55,0.02,5
lanehash,32,1.559,0.002,7.53,20.52,0.03,5
lanehash,64,2.302,0.002,11.08,27.80,0.02,5
lanehash,128,5.613,0.005,26.95,22.81,0.02,5
lanehash,256,9.618,0.014,46.00,26.62,0.04,5
lanehash,1024,17.483,0.019,84.06,58.57,0.06,5
lanehash,4096,24.462,0.015,117.56,167.44,0.10,5
lanehash,16384,22.487,0.075,108.49,728.60,2.44,5
lanehash,65536,28.363,0.432,136.83,2310.66,35.71,5
lanehash,1048576,23.772,0.103,114.21,44109.50,192.24,5
lanehash-aesni,4,0.229,0.000,1.10,17.49,0.02,5
lanehash-aesni,8,0.457,0.001,2.19,17.51,0.04,5
lanehash-aesni,16,0.920,0.001,4.45,17.39,0.01,5
lanehash-aesni,32,1.635,0.001,7.87,19.57,0.02,5
lanehash-aesni,64,2.375,0.002,11.43,26.95,0.02,5
lanehash-aesni,128,5.594,0.006,26.94,22.88,0.02,5
lanehash-aesni,256,7.775,0.013,37.62,32.92,0.06,5
lanehash-aesni,1024,13.260,0.006,64.11,77.23,0.03,5
lanehash-aesni,4096,18.666,0.001,90.29,219.43,0.02,5
lanehash-aesni,16384,20.295,0.081,95.69,807.28,3.20,5
lanehash-aesni,65536,22.978,0.035,110.40,2852.11,4.35,5
lanehash-aesni,1048576,21.563,0.278,103.92,48627.99,636.06,5
lanehash-spec,4,0.215,0.000,1.04,18.61,0.02,5
lanehash-spec,8,0.430,0.001,2.06,18.60,0.05,5
lanehash-spec,16,0.909,0.001,4.35,17.60,0.01,5
lanehash-spec,32,1.607,0.002,7.74,19.91,0.03,5
lanehash-spec,64,2.145,0.005,10.30,29.84,0.06,5
lanehash-spec,128,0.082,0.000,0.40,1569.98,2.04,5
lanehash-spec,256,0.120,0.000,0.58,2133.17,0.88,5
lanehash-spec,1024,0.167,0.000,0.81,6122.52,4.67,5
lanehash-spec,4096,0.248,0.000,1.20,16505.15,11.92,5
lanehash-spec,16384,0.290,0.000,1.40,56401.66,50.29,5
lanehash-spec,65536,0.303,0.001,1.47,216001.03,554.12,5
lanehash-spec,1048576,0.308,0.000,1.48,3406204.77,2454.59,5
lanehash-vaes256,4,0.218,0.000,1.05,18.38,0.00,5
lanehash-vaes256,8,0.435,0.000,2.09,18.40,0.00,5
lanehash-vaes256,16,0.871,0.002,4.20,18.36,0.04,5
lanehash-vaes256,32,1.565,0.000,7.53,20.45,0.01,5
lanehash-vaes256,64,2.356,0.002,11.31,27.16,0.02,5
lanehash-vaes256,128,6.724,0.001,32.24,19.04,0.00,5
lanehash-vaes256,256,10.577,0.006,50.75,24.20,0.01,5
lanehash-vaes256,1024,18.273,0.036,87.93,56.04,0.11,5
lanehash-vaes256,4096,25.233,0.007,121.12,162.33,0.04,5
lanehash-vaes256,16384,23.949,0.131,115.44,684.13,3.77,5
lanehash-vaes256,65536,30.401,0.032,145.81,2155.72,2.26,5
lanehash-vaes256,1048576,25.501,0.054,122.24,41119.78,86.98,5
rapidhash-v3,4,0.300,0.000,1.45,13.32,0.01,5
rapidhash-v3,8,0.602,0.000,2.89,13.30,0.01,5
rapidhash-v3,16,1.201,0.003,5.78,13.32,0.04,5
rapidhash-v3,32,1.731,0.004,8.23,18.48,0.04,5
rapidhash-v3,64,2.883,0.003,13.80,22.20,0.03,5
rapidhash-v3,128,3.953,0.007,18.84,32.38,0.06,5
rapidhash-v3,256,4.063,0.006,19.53,63.01,0.09,5
rapidhash-v3,1024,6.667,0.019,32.04,153.59,0.43,5
rapidhash-v3,4096,8.217,0.002,39.49,498.48,0.15,5
rapidhash-v3,16384,8.373,0.009,40.09,1956.70,2.16,5
rapidhash-v3,65536,8.519,0.005,40.98,7692.58,4.75,5
rapidhash-v3,1048576,8.584,0.043,41.05,122153.34,613.55,5
xxh3,4,0.374,0.000,1.80,10.70,0.00,5
xxh3,8,0.747,0.001,3.60,10.71,0.02,5
xxh3,16,1.521,0.001,7.33,10.52,0.01,5
xxh3,32,2.530,0.002,12.15,12.65,0.01,5
xxh3,64,3.594,0.004,17.26,17.81,0.02,5
xxh3,128,4.361,0.016,21.04,29.35,0.11,5
xxh3,256,2.514,0.003,12.21,101.82,0.13,5
xxh3,1024,6.941,0.013,33.58,147.53,0.27,5
xxh3,4096,13.105,0.012,63.32,312.55,0.29,5
xxh3,16384,16.164,0.016,77.86,1013.63,1.03,5
xxh3,65536,17.893,0.015,86.52,3662.76,3.16,5
xxh3,1048576,18.195,0.049,87.67,57629.75,155.05,5
