# mode=throughput rounds=5 dram=false align=Some(16) counter=RDPRU-APERF pinned=taskset
# hash,size,bytes_per_cycle_median,bpc_mad,GB_s_median,cycles_per_hash_median,cph_mad,samples
ahash,4,0.275,0.000,1.31,14.52,0.02,5
ahash,8,0.552,0.000,2.64,14.49,0.01,5
ahash,16,1.277,0.002,6.02,12.53,0.02,5
ahash,32,2.371,0.001,11.18,13.50,0.00,5
ahash,64,4.083,0.005,19.28,15.68,0.02,5
ahash,128,5.037,0.023,23.79,25.41,0.12,5
ahash,256,6.964,0.007,32.93,36.76,0.04,5
ahash,1024,9.278,0.005,44.23,110.37,0.06,5
ahash,4096,9.068,0.010,43.47,451.69,0.50,5
ahash,16384,8.819,0.002,41.85,1857.81,0.43,5
ahash,65536,8.918,0.002,42.55,7348.74,1.89,5
ahash,1048576,8.912,0.006,42.84,117662.06,79.33,5
foldhash,4,0.479,0.002,2.25,8.36,0.03,5
foldhash,8,1.069,0.003,5.02,7.49,0.02,5
foldhash,16,2.139,0.004,9.99,7.48,0.01,5
foldhash,32,2.458,0.005,11.49,13.02,0.03,5
foldhash,64,4.051,0.004,18.89,15.80,0.01,5
foldhash,128,6.444,0.006,30.25,19.86,0.02,5
foldhash,256,7.024,0.014,33.07,36.44,0.07,5
foldhash,1024,7.775,0.008,36.94,131.70,0.14,5
foldhash,4096,8.107,0.001,38.18,505.23,0.09,5
foldhash,16384,8.127,0.013,38.17,2015.98,3.10,5
foldhash,65536,8.171,0.001,38.61,8020.41,0.55,5
foldhash,1048576,8.150,0.004,39.19,128663.83,65.27,5
gxhash,4,0.375,0.000,1.76,10.65,0.01,5
gxhash,8,0.757,0.003,3.56,10.57,0.04,5
gxhash,16,1.511,0.002,7.10,10.59,0.01,5
gxhash,32,2.989,0.002,14.01,10.70,0.01,5
gxhash,64,5.371,0.019,25.38,11.92,0.04,5
gxhash,128,7.776,0.006,36.70,16.46,0.01,5
gxhash,256,11.211,0.005,52.47,22.83,0.01,5
gxhash,1024,16.514,0.021,77.75,62.01,0.08,5
gxhash,4096,21.980,0.009,103.78,186.35,0.08,5
gxhash,16384,20.864,0.044,98.42,785.26,1.66,5
gxhash,65536,24.853,0.023,117.10,2637.00,2.42,5
gxhash,1048576,24.780,0.033,117.19,42315.67,56.02,5
lanehash,4,0.206,0.001,0.98,19.45,0.05,5
lanehash,8,0.412,0.001,1.95,19.41,0.03,5
lanehash,16,0.865,0.000,4.08,18.50,0.01,5
lanehash,32,1.618,0.001,7.61,19.78,0.01,5
lanehash,64,2.271,0.003,10.70,28.19,0.04,5
lanehash,128,5.453,0.004,25.63,23.47,0.02,5
lanehash,256,9.353,0.020,43.94,27.37,0.06,5
lanehash,1024,16.999,0.011,79.63,60.24,0.04,5
lanehash,4096,24.595,0.033,117.35,166.54,0.22,5
lanehash,16384,22.623,0.063,107.60,724.22,2.01,5
lanehash,65536,29.893,0.042,142.44,2192.38,3.12,5
lanehash,1048576,26.282,0.257,125.90,39896.82,386.33,5
lanehash-spec,4,0.156,0.000,0.74,25.65,0.05,5
lanehash-spec,8,0.310,0.000,1.47,25.77,0.02,5
lanehash-spec,16,0.625,0.002,2.96,25.61,0.07,5
lanehash-spec,32,1.165,0.001,5.50,27.46,0.02,5
lanehash-spec,64,1.857,0.003,8.76,34.46,0.06,5
lanehash-spec,128,0.081,0.000,0.39,1571.46,0.36,5
lanehash-spec,256,0.119,0.000,0.56,2145.91,0.33,5
lanehash-spec,1024,0.174,0.000,0.82,5876.29,5.97,5
lanehash-spec,4096,0.241,0.000,1.15,16994.41,33.31,5
lanehash-spec,16384,0.290,0.000,1.37,56504.88,57.12,5
lanehash-spec,65536,0.307,0.000,1.46,213723.74,191.96,5
lanehash-spec,1048576,0.309,0.000,1.48,3394215.11,4687.18,5
rapidhash-v3,4,0.299,0.000,1.42,13.39,0.01,5
rapidhash-v3,8,0.598,0.002,2.82,13.38,0.04,5
rapidhash-v3,16,1.196,0.003,5.61,13.38,0.04,5
rapidhash-v3,32,1.801,0.004,8.39,17.77,0.04,5
rapidhash-v3,64,2.917,0.002,13.62,21.94,0.01,5
rapidhash-v3,128,3.970,0.002,18.56,32.24,0.02,5
rapidhash-v3,256,4.052,0.006,19.07,63.17,0.09,5
rapidhash-v3,1024,6.623,0.006,31.11,154.62,0.13,5
rapidhash-v3,4096,8.172,0.015,38.64,501.25,0.95,5
rapidhash-v3,16384,8.432,0.011,39.15,1943.13,2.59,5
rapidhash-v3,65536,8.762,0.006,40.91,7479.38,5.27,5
rapidhash-v3,1048576,8.717,0.007,41.43,120287.99,95.95,5
xxh3,4,0.372,0.001,1.75,10.75,0.04,5
xxh3,8,0.743,0.003,3.54,10.77,0.05,5
xxh3,16,1.511,0.001,7.14,10.59,0.01,5
xxh3,32,2.518,0.004,11.98,12.71,0.02,5
xxh3,64,3.595,0.007,16.95,17.80,0.03,5
xxh3,128,4.344,0.002,20.48,29.47,0.01,5
xxh3,256,2.520,0.003,11.96,101.58,0.11,5
xxh3,1024,6.771,0.036,32.03,151.23,0.81,5
xxh3,4096,13.085,0.020,61.85,313.04,0.48,5
xxh3,16384,16.031,0.021,76.31,1022.03,1.35,5
xxh3,65536,18.370,0.024,87.16,3567.60,4.63,5
xxh3,1048576,18.470,0.057,89.05,56771.36,173.93,5
